SentPair1,SentPai2,SentPair3,SentPair4,Best,Worst
"['أخبرت زميلي داني كانيمان، الحائز علىجائزة نوبل.', 'فعندما تحدث كارثة يحضرفريق من الخبراء ويحاولون اكتشاف الخطأالذي حصل، أليس كذلك؟']","['لم نتمكن من أن نودع بعضنا', 'لم يخطر ببالنا أبداأنها النهاية']","['انت مدعو لمؤتمرات وسائل الاعلام.', 'اعطهم الاجهزةوقم بقياس مدى معرفتهم']","['ويبدو لي مع هذا بأنه على عكس ذلك', 'لأن هذا لميسبق له مثيل، مشكلة تصميم استثنائية']",2,1
"['شكراً جزيلاً لكم.', 'مرحباً بالجميع']","['أما أنا فقد أثبتت براءتي! لم يكن هناك أي تسرب لعينفي المكان كان بمنتهى الروعة', 'ولكن يجب عليك أن   حسناً، كل المباني كانت تسرب قبل هذا، لذا كان هذا']","['قمت بعرض منفرد يشمل فقط سبع دول.', 'كنت فيعمان ، وكنت في المملكة العربية السعودية']","['عندما تندرج هونغ كونغ تحت سلطة الصين لن يصبحالامر محورياً لهذه الدرجة', 'بعد 13 عاماً النظامالسياسي والعدلي في هونغ كونغ مختلف كثيراً عماكان عليه في عام 1997']",1,4
"['أهداف الاستكشاف والحفاظ على الكواكبلا تتعارض مع بعضها البعض.', 'في المقابل،يُوفر هذا أدلة فيما إذا كانت هذه الكواكبالتي نكتشفها صالحة للسكن أم لا.']","['لا .. ولكن كان لها تأثير كبير في ذلك', 'ان الصورتدفعنا لتدقيق معتقداتنا الاساسية و مسؤليتنا تجاهالآخرين']","['بعضها واضح والبعض منها ليس واضحا تماماً', 'سأبدأ بتلك الواضحة']","['والآن تقسيم المجموعات ، وإجراء التجارب على كلمجموعة', 'لذا ما سأقوم به هو توزيعكم عشوائياً فيواحدةٍ من المجموعتين']",3,2
"['إليك كيف يشرح الفيلسوف خدعة نشرالسيدة بالمنشار', 'هل تعرف خدعة نشرالسيدة بالمنشار ؟']","['إذاً فما يزال لدينا مدرسين أكثر لنستخدمهم', 'هذهلقطة لبعض المدرسين خلال أحد المناسبات']","['وصلت إليه، واصطدمت بنا الموجة', 'رجعنا للشاطىء،وكان بخير']","['قبل اليوم، كنت رسامة.', 'أدركت أنه لا يجب أن يحدثذلك على الإطلاق.']",3,4
"['هذا الجزء من المخ-', 'فمحاولتك للوصولإلى قطعة شوكلاتة وعندما ترغب فىالحصول على ترقية فى عملك فهذه القوةالمحركة بالمخ هي الدافع']","['ونصف العالم يعيش في مدن مزدحمة.', 'ويصرفالناس، حسب مكان إقامتهم، ما بين 90 إلى 95 منطاقتهم للتنقل مشياً']","['هو الجزء الذى يسمح للسناجب بإيجاد الجوز.', 'وإذكنتم تتسائلون، قام أحدهم بالتجربة بالفعل حيث قاموابتعطيل حاسة الشم لدى السناجب وأمكنهم مع ذلكالعثور على الجوز']","['كانت القناني تتفلت مني في كل رمية', 'وكنت أحاولجاهدا أن أعيدها دوما إلي']",4,1
"['بينما ارتفعت بورصة عمان', 'تراجعتالبورصة البحرينية بنسبة ليغلق موشرهاالعام مستوى نقطة']","['نغمة شعبية تقليدية أخرى', 'لا تفكر مرتين، كل شيءعلى ما يرام']","['كل السيارات غير مناسبة', 'سأريكم الآن شيئاً غريبا']","['المحركات البخارية خطيرة وقد كان لها أثر هائل علىالعالم', 'إلا أنه من الأفضل أن يكون كبيرا فهي ليستجيدة لإنتاج الطاقة متفرقة']",1,2
"['والبعض الآخر مجرد إختلاف في وجهةالنظر.', 'ولكن إختلاف وجهة النظر لا يفسدللود قضية']","['لا، ليس هذا تأثير بينوكيو.', 'هذا هو أثر بينوكيوالحقيقي']","[' حسناً ، سوف نبني شققاً صغيرة جداً', 'يق نحن لانريد العيش في شقة تقليدية صغيرة']","['فكان السؤال التالي هو: هل هناك أجهزة؟', 'هليمكنك بناء هذا الشيئ كعضو خارج الجسم؟']",1,3
"['بدأنا من البداية، من الصفات المشتركة.', 'الصفات المشتركة مريحة لأنّها مشتركة، كلشخص يملكها']","['لا نسامح. لا ننسى.', 'نحن أساس الفوضى']","['ولكنها كانت حركة ذكية.', 'حركة ذكية من قبل من؟']","['ناهيك عن حقيقة أني كنت ابنة 14 --', 'قالوا لي  ،أكتبي عن كونك ابنة 14 عاماً']",1,2
"['في ""هاييتي"" وحدها, يقطع حوالي 30 مليون شجرة في السنه.', 'هناك احتمالبتطبيق ما قمنا به لانقاذ نسبة جيدة من تلكالأشجار']","['أستطيع أن أقول لكم أنه كلما زاد بحثكم عن كواكبتشبه الأرض، زاد تقديركم لكوكبنا نفسه.', 'ويثير كل منهذه العوالم الجديدة مقارنة بين الكواكب المكتشفة حديثًاوالكواكب المتواجدة في مجموعتنا الشمسية.']","['لهذا السبب تفقد مفاتيح السيارة ونظارة القراءة وجوازالسفر.', 'ينبغي عليك أن تحدد مكانا لمفاتيحك-- قمبتثبيت خطاف على الباب.']","['تكشف بيانات كبلر أحجام الكواكب وكذلك بُعدها عنالنجم الأم لكل منها.', 'تساعدنا هذه البيانات مجتمعةعلى فهم ما إذا كانت هذه الكواكب صغيرة وصخرية.']",4,2
"['هناك تكهنات بأنّ حتى إبراهام لينكلن كانلديه تضخم بالأطراف.', 'كل شخص كانطويلا بشكل غريب، يكون هذا التفسير الأولالذي يخطر ببالنا']","['إذاً فما يزال لدينا مدرسين أكثر لنستخدمهم', 'هذهلقطة لبعض المدرسين خلال أحد المناسبات']","['أهملناكم أنتم كبشر.', 'أهملنا تحسين الحياةالطبيعية']","['القانون الثاني: لا يضرب أي رجل زوجته.', 'إذا قامبضربها، سنقوم بسجنه، وننادي المشايخ الأكبر سناً']",3,2
"['سألنا الطلاب ما الذي يجعلكم تتفوقونبالرياضيات', 'إن لم أولد عبقريا فيالرياضيات،فمن الأفضل لي أن أدرس شيئاأخر']","[' صدمة، اضطراب ما بعد الصدمة،', 'أنه كان شيئاًموجود لا يتحدث عنه أحد']","['ساعد في حملة الاقناع الضخمة التي ستبدأ هذاالربيع.', 'يجب أن نغير عقلية الشعب الأمريكي']","['لغة الإشارة الفرنسيه اعتُمِدت في امريكا في أوائلالقرن التاسع عشر ومع مرور الوقت، اختلطت مع لغةالإشارة المحلية، وتطورت لتصبح اللغة المعروفة اليومباسم لغة الإشارات الأمريكية.', 'كشخص أصم يعيشفي عالم الصوت، يشبه ذلك العيش في بلد أجنبي،أمتثل لقواعده وعاداته وسلوكياته ومعاييره دون تفكيربدون التشكيك فيها أبداً.']",3,2
"['ثانيًا الاجتماعية أو الطبيعة الثانية والتيتتعلق بالجوانب الثقافية والاجتماعية لحياتنا', 'وثالثًا الطبيعة التي تجعلكم متفردبن الطبيعةالفردية واتي أدعوها طبيعة التفرّد']","['هذا استغرق انهاؤه ستة أسابيع.', 'أشهر تمثال فيالعالم']","['لقد اتصلت بالدعم الفني مجددا.', 'اتصلت صباحالاثنين']","['وهنا ترون براءة اختراع لذراع في عام 1912.', 'وهي لا تختلف كثيراً عن التي ترونها لدى المرضىلدي']",3,2
"['قلصوا من إنبعاثات الكربون الذي تسببونهبكل الاختيارات التي تقومون بها', 'هناكحاسبة كربون  ودعوة للمشاركة في الإنتاج ،مع مشاركتي الناشطة، مع رواد البرمجةالحاسوبية في العالم حول علم الكربونالغامض لتصميم حاسبة كربون صديقةللمستهلك']","['لكني لست هنا للحديث عن الموسيقى اليوم.', 'أنا هناللحديث حول الكتب، حسناً']","['وأعطى كل أنواع المبررات.', 'ربما سيعترضون طريقالممرضات']","['وجدت مروحة حاصدة، ممتص صدمات، مواسيربلاستيكية.', 'بإستخدام إطار دراجة ومحرك دراجةقديم، بنيت آلتي']",2,3
"['هذا مفتوح و هذا مغلق', 'هذا جديد ، وهذا تقليدي']","['هل تذهب للمجلس و تقول أنظروا , أنا لدي فكرة رائعةلمنتج غير مكتمل في السوق الثانوي مع مستهلكين لمنتعامل معهم من قبل ', 'أستطيع أن أضمن بأنناسنحصل على عائد منها خلال الثلاثة سنوات القادمة']","['أنا حذرة جداً بكل ما يتعلق بالصوت.', '""لا تغلق الباببعنف!""']","['أنا في غاية الامتنان.', 'أشكركم جميعا علىتعليقاتكم الطيبة على ما قلته تلك الليلة']",1,3
"['لقد قمنا بالبحث', 'ولدينا العلاج الفعالالآن']","['بقي لدينا إنهاء القصة فقط.', 'إنه في غاية الأهمية']","['أنا أظن أن الأمر بهذه البساطة.', 'أنتم تعرفون أنكمتريدون المزيد بسبب أنكم تريدون التمتع بالأمر']","['لأنه يصبح من الصعب أن ننسى، حتى كهذه اللحظةالراهنة هو في زيادة لا يمكن تذكره', 'لأننا قادرون علىأرشفة الماضي وبعض منه']",1,3
"['وذلك يعني أن هناك الآلاف من الأفكار', 'بعض تلك الأفكار بشعة تماما والبعضرائعة']","['سجلت المبادلات التجارية بين المغرب والجزائر ادنىمستوياتها', 'وتراجعت المبادلات المغربية الجزائرية بنسبةالمائة تقريبا']","['هذا التحرك هو تحرك لا إرادي بشكل كامل', 'فالحيوانهنا كما هو مفترض لا يتحكم بساقيه']","['المستخدمون هم مصدر الإبتكارات الكبيرة والمضطربة', 'من الصعب أن تجد الأفكار الكبيرةالجديدة في أسواق متدفقة في مؤسسات كبيرة']",3,4
"['إذاً تخيل أنك تملك أداة وتمتلك طرفاً حاداًلتجري ثقباً في منديل', 'ما هي أسهل طريقةلإرجاع الطرف الحاد مرة أخرى ؟']","['كان الصوت جزءاً كبيراً من حياتي. في الحقيقة، كانيتردد في ذهني كل يومٍ.', 'إذاً، كيف أمكنني فهمالصوت؟']","['""لا تتشجأ، وعندما تأكل، تأكد من أنك لا تقوم بكشطالطبق بالأدوات.""', '""لا تصدر صوتا عاليا عندما تأكلمن كيس رقائق البطاطا! ""']+","['لن تقول أدعية.', 'لن تكتب ترانيم دينية']",4,2
"['ماو تسي تونغ أحضر الصحة الى الصينثم توفي. بعدها دنغ كسيابينغ بدأ رحلةالتقدم المذهلة', 'اليس من الغريب رؤيةالولايات المتحدة تنمو اقتصاديا في البداية  ثم تصبح غنية بالتدريج']","['إنه حوالي 300 صفحة، مجلد.', 'يكلف هذا، أيتخمين؟']","['الآن ، يوجد سببان أساسيان يدعوان للقلق بالنسبةللنفط', 'كلاً من القدرة التنافسيه و الأمن القومي فيخطر']","['وفي ذلك الوقت، كان الصوت يميل وهذا إذهلنيكثيراً..', 'كان كل شيء مسموعاً.']",3,1
"['إذا كنت مثل معظم الناس، فإن رؤية ذلكيعطيك شعور بالغبطة والفرح.', 'كما أنه فيحين وصولك إلى أسفل الترتيب فقد يمنحكهذا شعور طفيف بالرهبة أو الغثيان']","['فهناك الكثير من التقدير لهذا النوع من الهندسةالمعمارية الطريفة', 'لقد كنت دائما معارضا لذلك  وأعتقدأن هناك حاجة إلى العاطفة']","['كان شخصا شديد التدين.', 'كان عالم الرياضيات فيمهمة']","['لأننا في حاجة إلى القيام بتغيير ذي معنى.', 'حاليا،نحن نختار سيناريو الأربع درجات']",1,2
"['كما قلت سابقاً هو ليس قتل شيء ما، بلتنمية شيء ما', 'أعتقد أنها أسئلة حولطريقة تفكيرنا بالطب في المستقبل']","['حسناً، أراقب كيف يستجيب الناس للصوت وكيفيستجيبون له.', 'تعريفي الحالي للصمت: صوت مبهموغامض للغاية.']","['يوجد في المخ منطقة تعرف بالحُصين.', 'يعتبر الحُصيْنجزءا من المخ والذي يتسع لدى سائقي سيارات الأجرةفي لندن']","['ونتيجة لذلك الخوف نميل الى الإنكار.""', 'أو نقرر أننمنع الخرف من الحدوث']",3,1
"['هذا خطأ غير مسؤول.', 'والأسوأ، أنهممل']","['حسنا، قال، ""ألا يمكننا تجربة جلسة علاج بالصدماتالكهربية؟""', 'هل تعلمون لماذا وافقوا؟ وافقوا لكىيسخروا منه']","['فقط إعلم أنه يكفي بأنك تدرك أنه أمر صعب.', 'بالطبع، الحديث عن الماعز يجعلني أتذكر الخرفان']","['في جميع أنحاء العالم إختلطت المناخات.', 'و الفقراءهم الذين تأثروا بصورة أسوأ']",4,3
"['مع الأخذ في الإعتبار السؤالالبيوجغرافي، الأرض تنقسم.', 'هذه كلهاحيوانات برية  هناك خياران']","['الفن, في الحس الأفلاطوني, هو الحقيقة, هو الجمال, و الحب.', 'هذه هي حتماً  النقطة التي يبتعد فيهاالفنانون عن المهندسون']","['لكن بدايةً سأُخبركم قليلاً عن الماضي', 'اليوم أودالتحدث إليكم عن المستقبل']","['ولكن السؤال هو: هل يمكننا امتلاك ازدواجيتنا؟', 'هلنمتلك الشجاعة للتمسك بكلا الأمرين؟']",4,1
"['تتعلم تسلق أشجار الخيزران.', 'وتتدربعلى فنون بالي القديمة']","['بينما ارتفعت بورصة عمان', 'تراجعت البورصةالبحرينية بنسبة ليغلق موشرها العام مستوى نقطة']","['إنه أفضل وسيلة و لكنه كغاية يعد لا شئ.', 'التصويتفي الإنتخابات شئ ممتع و لكنه ليس غاية']","['هذا هو، في الواقع، مرحلة أخرى.', 'الآن، ربما لاحظبعضكم ذلك المشهد هنا']",2,4
"['وهذه هي طريقة عمل المجتمع .', 'ذلك ماحققناه كمجموعات من نوع واحد']","['الطريقة -- اتوقع من الجميع أن يحفظوا هذهالمركبات.', 'هذا صفحة عمل واحدة من مصنف كيميائي،اتفقنا؟']","['و تتكون معظم تلك الأوعية الدموية لدينا ونحن مازلنافي رحم الأم.', 'و هذا يعني أن الأوعية الدموية البالغةفي الظروف العادية لا تنمو']","['بقدر ما أحب استكشاف الكواكب، فإنني أختلفبشدة مع هذه الفكرة.', ' أي شخص يخبركم بأن المريخسيكون البديل المنقذ للبشرية فهو في ذلك يشبه قبطانتايتانيك الذي يخبركم أن الحفلة الحقيقية ستحدثُلاحقًا على قوارب النجاة.']",3,1
"['لقد جربتها هذا الصباح فقط للتاكد منوجود الخدمة', 'من هم الممثلين الذين مثلوادور جيمس بوند؟']","['كنا أول من يدخل ويكتشف هذه الأشياء المجهولة.', 'وقد كنا خائفين بعض الشيئ لأن الأمر برمته كاناستكشافًا،']","['لم يكن أبي هناك', 'كان في الجيش']","[' وأردت ان أقوم بمشروع بحث في الأمراضالعصبيه', 'في ذلك الوقت، كنت مهتمه بعلم الأعصاب']",2,1
"['أنا لست طبيب', 'أنا مؤرخ للطب']","['والذي استخدمناه كلاصق هو في الواقع كمية قليلة منروث البقر.', 'قمنا بعمل اختبارات جنباً الى جنب  وهنايمكنكم رؤية قوالب الفحم']","['عدت إلى مكتبي و أرسلت ثلاثة مقالات.', 'وبعد 20 دقيقة عاد منفعلا إلى مكتبي']","['أساسا قد أخذت ليغو وحدات الخرسانة، ووحدات بناءالعالم، وحولتها إلى وحدات بناء مخيلاتنا.', 'وفي هذاالأثناء من نفس السنة بالضبط، في مختبرات بيل كانتالثورة الموالية على وشك أن يعلن عنها، وحدات البناءالتالية. ']",1,2
"['انها حقا محاولة لخلق رواية للغة الجسدلخليقة جديدة.', 'هوليوود يفعل هذا في كلوقت ، بطبيعة الحال']","['لهذه آثار تنظيمية ضخمة لأجزاء واسعة جدا منالحياة', 'على سبيل المثال خذ علم الفلك الذي ذكرهيوكاي في محاضرته']","['لذا فمن المستبعد جداً أن يكون لديكم نفس المكونات , نفس الدوائر الكهربية .', 'لذا   كيف لنا أن نكوْن حقيقةأننا نستطيع أن نفهم كل واحد منها ؟']","['لا بد من وجود سبب لذلك ""', 'لكنه كان مصيباً ، فقدكانت فكرة حمقاء']",1,4
"['حتى مجموعة الاقفال تتكلف ربما 200 دولار.', 'كل شىء فى المطبخ تم إنتشاله']","['هذه التغيرات البيئية على المستوى الكوكبي التيوضعناها في الحركة تفوق سرعتها قدرتنا على تغييرمسارها.', 'لسوء الحظ.']","['لن يقوم الطبيب بوصف أي دواء إن لم يكون مفيدا لي', ' في الواقع، لا تتبع الممارسات الطبية هذه الطريقة']","['هذا الاعوجاج.', 'هذه السحابة النقطية']",4,3
"['كنا أفضل ما يمكنهم القيام به.', 'بحيثيمكننا فهم ماهيّة أسلوبنا']","['إذن كيف تتحرك من أسباب متعددة لتصل إلى حالةمتجانسة؟', 'والإجابة هي ما يقع في المنتصف أيالتنمية'].","['ومؤخراً كنا أكثر تطوراً ونحن لدينا نظام ألوان ثلاثي.', 'ونحن نستطيع وضع علامة لكل نملة بمفردها لنتمكن منمعرفة كل نملة']","['المحركات البخارية خطيرة وقد كان لها أثر هائل علىالعالم', 'إلا أنه من الأفضل أن يكون كبيرا فهي ليستجيدة لإنتاج الطاقة متفرقة']",2,4
"['حيث توجد أحياء حقيقية وأشجار حقيقية،وطرقات حقيقية يمكن السير عليها.', 'أشخاص تُعجب بهم، أشخاص ربمالاتعرفهم']","['أمريكا في نفس الوقت أكثر وأقل بلد ناجح في العالمالصناعي.', 'شيدت أفضل شركات العالم وأعلى أرقامقياسية من الأطفال الجوعى']","['اعني .. اعني ان هذا تعديل وراثي', 'ومن ثم الى تلكالتي تشبه الكلاب الصغيرة']","['ثم أعمل بين نبضات قلبي. وعندي ما يعادل الثانيةوالنصف لأتحرك.', 'ويجب علي أن أكون حذرا ألاأستنشق عملي في ذات الوقت']",2,3
"['نغمة شعبية تقليدية أخرى', 'لا تفكر مرتين،كل شيء على ما يرام']","['التعبير مجازيا يعيش سراً في كل مكان حولنا.', 'نحننتلفظ ما يعادل ستة تعابير مجازية في الدقيقة تقريباً']","['يتكلمون عن أشياء لم يروها.', 'إنه شيء رائع  إنهالحظة مدهشة']","['لذلك كاتبت طفل الثانوية هذا فورا، وقلت: ""نعم، أنتعلى صواب.', 'اعتقد أنني سأحاول القيام بذلك فينهاية الأسبوع  شكرا لك']",4,1
"['وإذا قارنتم المنطقة الحمراء في 2030 و2014، فإنها تصبح أصغر وأصغر.', 'قبلأن أطلعكم على بقية العالم، ماذا يعني كلذلك لألمانيا؟']","['لماذا لا نستطيع تغيير السياسين؟', 'لماذا لا نطالبهمبذلك؟']","['فهي لا تحتوي على مركبات الكربون', 'وهي لا تحتاجالكثير من الموارد لكي تُحقق']","['ولهذا يجب أن نهتم بهذه المعضلة..', 'الفعالية فيميادين أخرى في النقل لها أهمية موازية كذلك لأهميةالسيارات والشاحنات']",2,4
"['فقد فهمو أنه دورهم مع موقع الرئيس أنهيساعدوا داعميهم لا أن يتحكموا فيهم', 'وهذا هو النوع من الإنضباط الذي نحتاجهلإستخدام ناضج لهذه الوسيلة الإعلامية']","['كنا في طريق ل-40 .وصلنا الى المخرج .', 'أخذناالمخرج  بدأنا البحث عن مطعم']","['اما اليوم فالدرّاجون يبدون تماما كما تبدو مدينةنيويورك', 'الكل يركب الدراجات']","['في ثقافة الصم، تعادل الحركة الصوت.', 'هكذايمكننا التعبير عن كلمة ""موظفون"".']",2,1
"['في جميع أنحاء المنزل، قم بتحديد أماكنلأشياء تضيع بسهولة', 'يبدو هذا منطقياوهو كذلك ولكن هناك الكثير من العلوم لدعم هذه الفرضية بناءً على طريقة عمل الذاكرةالمكانية لدينا']","['وقد ظهر في مستشفى الأطفال ببطن منتفخ كضحيةمجاعة.', 'وليس المشكل أنه لا يأكل، إنما أنه حين يأكل،تنفتح أمعاؤه أساسا وينسكب البراز في أحشائه']","['الثغرات تسمح بالنفاذ باعتبار التشريع المدخلالاساسي لوقف نزيف الضرائب', 'حققت بورصة دبيللذهب والسلع نتائج قوية']","['المقبلين علي الموت يريدون ان يعرفوا ان حياتهم كانلها معني', 'يريدون ان يعرفوا انهم لم يضيعوا حياتهمفي مهام بلا معني']",4,3
"['ورأي آخر: مسبب خطير للمشاكل .', 'منالذي يراه بطلاً ؟']","['أعتقد أن الكل يعرف معنى ذلك', 'من المفترض أنتعرض تدفق الإدراك']","['السيارات هي تمثال -- هل كنت تعلم هذا؟', 'أن كلسيارة تراها هي منحوتة باليد']","['شكراً جزيلاً لكم.', 'مرحباً بالجميع']",4,1
"['خمسة متاجر رائدة جديدة افتتحت', 'لقدكانت عودة للوطن من جديد']","['سنستعرض صورتين', 'لقد تلقيت جائزة ما على ماأعتقد؟']","['إلى اليسار ترى البيانات على مدى فترة طويلة.', 'إلىاليمين، إلى الأعلى، ترى النظرية التي تتسّم بالحداثة']","['و الأن لدي ابنتان.""', 'وأحدث ذلك فرقا في كيفيةتربيتي لهما']",3,2
"['سنتعرض للفشل بين الحين والآخر.', 'تكمنالفكرة في التفكير مسبقاً فى ماهية هذهالإخفاقات لتضع ترتيبات قد تساعدك فىتقليل الأضرار أو تمنع وقوع أشياء سيئة فيالمقام الأول']","['ولكن هل استفاد النظام شيئا؟ على العكس', 'كانوايتعاملون مع الشباب والبنات بقسوة']","['لا شيء يمكنه القيام بذلك. وتحدثت لاحقا. أريتهم هذاالفيديو بهذا التصميم البسيط ل RHex هنا، وفقطلإقناعهم بأنه علينا الذهاب إلى المريخ في 2011، لونتالفيديو بالبرتقالي فقط لإعطائهم معنى الوجود فيالمريخ.', 'سبب آخر لماذا الحيوانات لديها أداء خارقويمكنها الذهاب إلى أي مكان، هو أنها لديها تفاعلناجح مع المحيط  الحيوان الذي سأريكم إياه الذيدرسناه للنظر في الأمر هو الوزغة']","['كان هناك فجوة كبيرة بين العالمين.', 'ولكن ذلك تغير وتغير للأفضل']",4,3
"['لا أحد لإلقاء نظرة على التشخيص.', 'لاأحد لمعرفة أي أداة ينبغي أن تستخدم']","['والانزيميات هي السر .. انها المكون الذي يجلبالنكهة', 'فهي تعمل على تحرير السكر المرتبط بنشاءالطعام']","['وسنمنحكم خمس دقائق أُخرى للتأكد من فعاليةالعناصر.', 'والآن سيكون لديكم ٣٠ دقيقة لحل ١٥لغزاً']","['كم عدد الأشخاص الذين يتوجب عليهم تناوله قبلمساعدة شخص واحد؟', 'العدد المطلوب علاجهبالستاتين الذي يوصف على نطاق واسع كم تعتقدونأن يكون؟']",1,4
"['ومن ثم وجدت بعض الأشخاص يقولون،""اتركيه.""', 'وأخذت أفكر، حسنا، من هم كلالأشخاص']","['فيتأخر تعليم الرياضيات حتى يتمكن الطالب منالحساب اليدوي', 'لانه من الصعب جداً القيامبالحسابات اليدوية .. ']","['نعم، هناك الكثير من الضحك. نعم، بالتأكيد.', 'الكثيرمن الضحك وقدرا لا بأس به من الخجل']","['تريد قضاء اليوم في الصيد معه.', 'أما هايدي؟ لالست متأكدا']",2,4
"['الأطفال قتلوا فى الموقع .', 'كانت أخت  مايريد']","['ويستخدمونه بعض الأحيان لتخزين الحبوب داخله.', 'حتى أنني رأيت إستخدامه كحظيرة للدجاج']","['إذاً، السيد آل غور، شكراً لك.', 'لقد دمرت حياتي،لكنك أعطيتني مستقبل مذهل']","['سالقي بالاوراق وانت -- اي مقاس؟', 'اي مقاس؟ذلك سهل جدا  احب التحديات']",4,1
"['انه شعر جميل , ولكنه لايمكن ان يكونصحيحا تماما', 'هل حقا لايوجد شيء جيد وآخر سيء'],","['كان الوقت متأخراً جداً .', 'لا أتذكر أي ساعة كانت']","['أماكن تستحق الإهتمام. و محددة جيدا.', 'إنهابالتأكيد غرفة في الهواء الطلق العام']","['لقد دمر،كما هو حال البلدة القديمة نفسها.', 'نصفالأحياء الأخرى في المدينة هي الآن تحت الأنقاض']",2,3
"['إذاً، البساطة وقابلية التنبؤ هما منخاصيات الأشياء البسيطة.', 'ثانياً، وهذاتعبيرٌ مستقًى من صميم الواقع، هي رخيصةالثمن']","['ولكن ما يدفع الشخص المعوز وغير المستقر نحوالتحول إلى عبد، هو غياب القانون.', 'إذا كان القانونمنطقيا فهو سيحمي الفقير المعوز، وسيحمي غيرالمستقر']","['قانون فوريور للتوصيل الحراري', 'انها معادلةاشتقاقيه']","['ولذلك اعتقدنا بأنه من الممكن أن تكون هناك طريقةأفضل للحصول على وقود بديل.', 'لقد أردنا أن نصنعوقود مستخرج من شيء ما متوفر على المستوىالمحلي']",4,3
"['وربما قد سمعتم عن الستاتين من قبلتعرفون أنها من أكثرالأدوية التى يتماستخدامها فى العالم اليوم.', 'وتبدأبالتفكير، ""نعم! أعطني ستاتين.""']","['السيد خاراي والذي هو شخص معاق جسديا ويبلغطوله قدم ونصف فقط', 'طور كرسي المقعدين بصورة ماتمكنه من الانتصاب والتحرك بكل حرية ومرونة']","['في الواقع، من المحتمل أن المريخ كان مكان صالحًاللسكن في الماضي، ولهذا السبب نحن ندرسُ المريخكثيرًا.', 'المريخ صغير وصخري، وعلى الرغم من أنه بعيدقليلًا عن الشمس، إلا إنه قد يعتبر مكان يُحتمل السكنفيه إذا وُجد من قبل بعثة مثل كبلر.']","['تبيَن كيف للملاحظة, الفضول و الغريزة تعمل لتشكلفنا مذهلا', 'التصميم الصناعي هو الشكل الفني للقرنالواحد والعشرين']",2,4
"['أخطأت بتعليم الدرس كله. أنا آسفة""', 'قالوا لي لا مشكلة، آنسة']","['الفلسفة بسيطة جدا.', 'لا نؤمن بأعمال العنف']","['لكننا انتقلنا ,إلى حدٍ كبير, من التمليح إلىالإستنفاد.', 'هذه المسار الآخر للأدلة هو بالفعل مثيرللإهتمام']","['أليس هذا مجرد تخمين؟', 'ليس هذا جزءا من علومالرياضيات']",4,3
"['خلال الأشهر الماضية، كنت أسافر لعدةأسابيع متتالية كل مرة مصطحبةً حقيبةملابس واحدة.', 'وفي أحد الأيام دعيت إلىحدث مهم، وأردت أن أرتدي ملابس جديدةخاصة بالمناسبة']","['ربما هذه ليست الافضل ؟', 'ربما تركت الافضل ']","['صورتكم ستحلق فوق الاطلنطي', 'ولن ترونها لاحقا']","['الكتلات الأرضية القارية انجرفت', 'الغطاء الجليديتمدد ثم اضمحل']",2,3
"['لكن لديه تقريباً 500 جين.', 'لدى الأنفلونزاالمستديمة 1،800 جين']","['أنا لا أقول يجب عليك أن تأخذ الستاتين أم لا.', 'ماأعنيه هو أنه يجب عليك أن تجري هذه المحادثة معطبيبك.']","['وأنتم محقون تمامًا.', 'انه تقرير مُمِل جدًا']","['سبب الوفاة الأوّل على هذا الكوكب بين البشر هيالمياه السيئة النوعيّة.', 'إنّها ما بين 60 و 85000 شخص يوميا']",4,3
"['سيتجاهلون الهواة، ولا سمح الله .. المتقاعسون أيضاً', 'لقد كان كل الأمر حولالذهاب للمنتصف']","['إنه شيءٌ محسوس لأي تصرف.', 'وليست كشيئٍ ذاعلاقة بالمعنى التجريدي']","['سيقوم المعلمون بإخبارنا كم نحن مفيدين', 'ثم عندهاقالوا،  لماذا لا تأتون الى المدرسة؟']","['أتلفنا قرابة 50 من هذه المغنطيسات', 'الآن هذا أكثرعجبا إذا علمتم أن المغنطيسات تزن أكثر من 20 طنوقد تحركوا قرابة القدم.']",2,3
"['لقد زالت نصف غابات العالم.', 'المواردالمائية تنخفض بسرعة']","['لذا فسوف أبدأ بتطبيق تلك الفكرة على أمراضالإسهال.', 'الكائنات المسببة للإسهال تنتقل بثلاث طرقأساسية']","['العنف يهاجر للمدن الكبرى.', 'قد يكون هذا متوقعًا،صحيح؟']","['حسنا، في مرحلة ما قبل الوفاة، شرح داني أنك تقومبالنظر إلى ما هو أمامك وتحاول معرفة الأشياء التىحدثت خطأ ثم تسعى لمعرفة ما الذي يمكنك القيام بهلمنع تلك الأشياء من الحدوث، أو الحد من ضررها', 'لهذا ما أريد أن أحدثكم عنه اليوم هو بعض الأمورالتى يمكن أن نفعلها فى مرحلة ما قبل الحدث.']",1,3
"['تقدما حتى الشرفة الأمامية ودقا علىالباب.', 'أجابهم أبي، أمرنا الجنود أن نخرجمن منزلنا']","['و، تعلمون، هي الصورة ذاتها، والشخص نفسه.', 'وعدد محدود يراها  لا أكتب هذا للقراء،']","['ولكننا نتعلم أكثر وأكثر عن العقل البشري', 'دقة مسحالعقل تتضاعف كل عام']","['هذه هي حتماً, النقطة التي يبتعد فيها الفنانون عنالمهندسون.', 'ليست لدينا أي مشكلة البتة في أننتحدث عن الحب']",1,2
