SentPair1,SentPair2,SentPair3,SemPair4,Best,Worst
"['انشاله اجيبو الباك', 'عندك الحق خويا خساني']","['وين يديها', 'يديها تقرا']","['لالا والله عرضتني نورمال بالصح كي شغل تتمسخر', 'لالا ماشي إستهزاء تاع كي شغل مشنفة عليافهمتي']","['هي مام الشات مليح ، شفت البارح في تلت ايام 600 فراز', 'انعم رانا ناڢونسيو  أنا حتى في الفايس بوكوليت نهدر مع صحاباتي بالدارجة']",2,1
"['بالصح الواحد مايكرهش منه على خاطر معمربالحكايات', 'شوفوا پاريكزومپل هدا السيت فيويكيبيديا على الدارجة نتاعنا']","['يعطيك الصحة راني ضحكت بزاف', 'شمسووقتى تولي اماجينو']","['نجيب الدوا', 'ماراهيش محلولة']","['نجيب الدوا', 'مشها محلولة']",1,3
"['الكاييي ما رفدتوش ڤاع', 'رايحة نجيب ڤاطونجيبلك']","['ألو ماما', 'عيطي لسهام']","['صباح النور', 'واش راكي']","['لطفي نتايا وحدك الله يحفظك', 'يعطيك الصحة خويالطفي']",3,1
"['روح', 'وش']","['لالا هو سورمو يعرف كاش واحد يعيطلو برك پارتليفون', 'شفتي لوكان اديت النيميرو تاع هاداكلي يسكن في داغوسة']","['بعدما راح جدي بربعايام أكاك راح للاﭘﻮست يخلص', 'راح لبرا شوية لتم على التسعة تاع الصباح مات']","['نتا لسانك طويل', 'أسمعي ما خلصتنيش']",3,1
"['لالا بصح اللوجيسيال لي يديرها وحدو ولا انتي', 'لالا اللوجيسيال يدير غير لي كالكول برك']","['يبعد عليا الجن والنسا', 'مزلتي تعيط كيماالصيد']","['الحوت', 'بصحتك']","['نتا منك ليه', 'آه تاع انفورمتيك']",1,4
"['شمسو اليوم الخميس رانا نسناو في كلاش ليراه يسنا يخلي جام', 'انا مانسوطيش ماشي غيرلحمي تشوك الله يا شمسو بكيتني بالشهقة راناكامل معاك ربي يوفقك']","['خاوة خاوة ما بيناتنا عداوة', 'ربي يحفظك خويامهدي']","['ساهلة مراد على خاطر ماكانش موتيڢاسيون', 'ماتحكيليش على الباك يا كريمة']","['نسيت وش كنت ﺣا ﻧﭭﻮل', 'سارة اعطيني الباطا تاعالسكر']",2,4
"['أنا راني في أملاك الدولة الدومان مشيالضرايب', 'أيا برك أ خولة كمية برك أﭬﻌﺪي معانا']","['اسنا ماكاش روشارش لهيك', 'السلام عليكمالصحة بيان']","['خطرة شافت واحد جايز قالت بقا في بالي حتى ورجلو مقطعة قلت لهم لوكان غير يجيني', 'دايمنﻳقولولها كي تتخطب كاش وحدة العقوبة ليك دايمنيجي في بالها هاداك لي شافتو خطرة وحدة']","['روعة يعطيك الصحة جربتو درك جاني هايل', 'سلام ياموليد يعطيك الصحه درتو اجاني بزاف بنين']",4,2
"['ساهلين ڤاع يبانوا دوك نسييهم سيرتو هداك تاعالحلوى', 'هاهم ماما لي طيبتهم كامل جابتحطتهم هنا']","['لي يتحرك يدي زوز ضربات من عندي بالعصا', 'و لي يڤعد عاقل نجيبلو الحلوى لعشية']","['انشا الله من فمك الى ربي', 'و تاني كاين سكايب ،ماتخافيش']","['راحت ماماه خرجت و خلاتو عند الجارة', 'و هي عندهادراري ﭬﻌﺪ يلعب معاهم']",2,3
"['ايه', 'نهبط']","['أنا ما قريتش و اني هابطة دوك لسوونترڢيل', 'سنينا ما قريناش وليت حبطت نفري شغالاتي']","['مانسوطيش والله مانسوطي عندك الحق شمسو كاملمعاك', 'شكون لي مزال يشوف فيه في رمضان يخبطجام']","['ماكانش عندي الدراهم', 'دوك نولي سارة']",1,4
"['نضن لوكان نحكيو في سوجي واحد اخر خير', 'وعلاش كريمة ، ما عحبكش الموضوع ؟']","['عندي شوية سلق نديره و خلاص', 'إيه واشفيها واش خصه السلق']","['والله ما على بالي ﻟﭭﻴﺘﻴﻨﻲ حايرة', 'عندي شوية سلقنديرها و خلاص']","['قالي التام تاعك مليح و كلش  و غدوة نقول لك اسكونحكمك ولا لالا', 'كان النهار هداك لاربعا قالي غدوة نقوللك ايه ولا لالا و الا لالا وعلاه']",2,3
"['فور خويا لطفي ديما ليزوم', 'اغنية روعة خويالطفي']","['أنا قلت لها عيطي ليماها ولا عيطي لباباها', 'كي عيطت ليماها سمانة ولا أكثر ما حبتشتجي']","['واش معنتها', 'وعلاش يعني']","['قوللي على واش يهدروا', 'على الموديل تاع خريبوط']",3,4
"['الطفلة أديك اللي شفتها', 'اللي تسكن في كوبا']","['صح', 'بيانسور']","['عاونينا شوية فريال حنا وحدنا ما ﻟقيناش روحنا', 'دوك نعيطلها دوك و نعاود نعيط لرفيقة نكونفرميلها']","['تلمت لافامي الكل عندها و ﭬﻌﺪوا يتوانسوا حتان جاوقت العشا ولى يخزر للماكلة باه يوكل منها', 'عطاته مرتباباه شويه روز في صحن و ﭬﺎتله روح من هنا و كولعشاك في لاكور']",2,3
"['حتى أنا نسحقه بزاف', 'ما نطولش بيه ڤاع']","['بابا سيف عليا باش نزوج بيه بلاما يسقسينيما قبلتش', 'علاخاطرش أنا إيتوديونت و حابةنكمل قرايتي قبل الزواج']","['واشنو دوك نهبلو باش يبداو ، مع العيد الكبير كلشيحبس', 'درك تبدا أقرى ، أحفض ، أكتب ، و لاسويت']","['عشرة شوية', 'نشري عشرين']",4,3
"['وش اسمه و انا مسلسل', 'أداكا لي يلعب فيأبوظبي']","['كيما سكندر تاع المسلسل عندو وحد الدوسيخباه في بلاصة حتى هو ما يشفاش وين حطو', 'باه حتى يعدبوه ما ﻳﭭﻠﻬﻤﺶ على بلاصتو و نهارلي احتاجو ڤلب الدنيا ما لڤاهش']","['ﭬداه عندك الساعة', 'درك أي العشرة']","['جانفي يكون هنا لا', 'آه ما نبقاش لجانفي']",3,4
"['ربي يعيشك', 'حسبتك عاقلة']","['إيه أنا حابة نحط في الكونتابيليتي', 'إيه ﭘﺎسكوﻟﻴﭙﻮست ناقصين و الخدمة ناقصة']","['يعطيك الصحة ام وليد تبان روعة', 'يعطيك الصحةباينة بنينة غدوة انشاء الله نسييها']","['كتبتلي شكرا يا برشوش بنت البكوش', 'اي بدلتعيشوش و كتبت رشوش']",3,1
"['في الصباح درتلهم محفوظات و في العشية عندناامتحانات سمانة كامل', 'غدوة زوج تاني عندنا فيالصباح مدنية و العشية بدنية']","['فهمتك بلاك عندها علاقة بالاعصاب', 'و تنمليوسي أ إيمان']","['يعطيك الصحة على توضيح حبيبتي ام وليد', 'منفضلك ام وليد ديري لنا شخشوخة المسمن ارجوكي']","['صح مولدك ام وليد', 'هايلة ام وليد ربي يحفظك']",1,4
"['برافو عليك خويا شمسو راك فور راك ارتيست ربييعطيك ما تتمنى', 'الله يرحمو يرحم جميع المواتربي خليلك ميمتك شمسو']","['صباح النور', 'وش راكي']","['راسي', 'شربتها']","['واش قلتو في الهجرة', 'واش من هجرة ؟']",4,3
"['أي رايحة دوك دوك راهي خارجة', 'ايهعلاخاطرش غدوا الفاتحة تاع هشام']","['صح وقتنا مش مليح ﭘﺮاﭘﻮر على المشاكل الليفيه', 'بصح بكري مكانتش الدنيا ساهلة كيماوقتنا أدا']","['لا مش إستهزاء تاع كي شغل مشنفة مني فهمتي', 'والله ما درتلها حتشي ما درتلها والو ربي لي يشهد']","['الخمسة الخمسة و ربع ياسر', 'فضت مالا نوضونيعلى الخمسة']",2,4
"['عاونينا شوية أ فريال حن وحدنا ما ﻟﭭﻴﻨﺎشرواحنا', 'درك نعيط لها درك بعد و نعاود نعيطلرفيقة نكونفرميلها']","['أنا يوما هي كلش باش نطلع لهيه و نخلي يوماهنا ادي يڤولو علاها الناس حاجة امپوسيبل', 'وكاينة حاجة أخرى لكان مشك منجمة تعيشي فيبلادك و تشقاي في بلادك اكي ما تنجميشتشقاي لهيه']","['عندك الحق شمسو', 'ربي بارك خويا شمسو']","['فيديو قوة راك برزت خويا شمسو ماشاء الله عليك', 'روعة شمسو روعة عجبتني راني نهدر غير با الشرات']",4,1
"['ما شفناهاش', 'دارو أكسيدون']","['شيماء أمامك لي كمل يربع يديه ولا يجبدالعجينة يلعب بيها بهدوء', 'و الله غير صحا فيهممازالو يلعبو بالعجينة و القريصات و الخشيبات']","['لهيه راهم حيين', 'هاك هدا يحفظك']","['اونديري جامعة', 'ايه صح']",4,3
"['عرضونا للعشا و كان العشا يكفي ليزاﻧڢيتي كل', 'ﻋﭭﺒﺖ ايامات على الكيف ما ننساهاش طولعمري']","['حتى الدرك حكينا على كلش حتى على لابولتيك', 'أنا البارح بديت نكتب لي ايمايل تيعكبالعربية']","['قلتلها تعرفي المدرسة العليا للعلوم السياسية', 'فهمتبلي ما تسمعش بيها مام پا']","['بصح لي جون مساكن ما زالوا يحوسو عليها', 'حتىفي الأزمات راهم عايشين خير منا']",1,2
"['ڤالت لك من بعيد يتحكم ولا ما عامباليش كيفماه', 'ڤالت لك واحد يحكمو مس ولا حاجة يروح للمرقي']","['ربي يحفضك او يخليك لينا خويا شمسو', 'شمسو نشتيك بزاف ربي يحفظك وينجحك فيحياتك']","['إدا إنت قبلتي بتضحية كيما أدي لازم هو تانا يكونراجل معاك و ما يتخلاش عليك', 'والله في تونس تقبلمرا إنو راجلها تكون عندو صاحبتو و ما تقبلش إنويزوز علاها']","['و دوك بديتي ولا مازال', 'أيه بديت ﻧﭙﺮﻳﭙﺎري للباكتاعي']",4,3
"['كبار يروحوا لكندا ؟ حارڨين ؟', 'لالا مراد  كيفاش  يحرڨو لكندا']","['يعطيكم الصحة لي كيب', 'بزاف هايلا يعطيكالصحة شمسو']","['صحا باي', 'ألو وي']","['أكتب الجملة هدي ولا ما عجبتكش هدي تاني', 'انتلوكان جات ليا والله ما ازوجتها خاطيك التربية']",1,4
"['راح السيد يديماري التوموبيل تيعو تم مات', 'ماتو هي ڤاعدة تتحرك التوموبيل']","['أني حكيتو لنها ڤالت لي كي تحكيلك الخطرةالجاية سوسن حاجة ما تجيش تحكيهالي', 'الخطرة الجاية كي نڤول لك فيلم ولا مسلسلڤولي لي أسني كملتيه ولا لا']","['خطرة دارولهم معرض تاع اجادارميا جابو لكلابأدومكا تاعهم', 'وحد الكلب ﭬﻠﻬﻢ مولاه ڤيسوه العبومعاه ما يديرلكم والو']","['تشبهي لأسما', 'نقرا فرونسي']",1,4
"['على ساعة', 'ﻟﭭﻴﺖ زوز']","['يام كلهم مركة فرنسي كشم ﻟﭭﻴﺘﻲ راحة مركةألجيريان', 'آه كاينين بصح مدرحين كاينين وحايدمخدومين هنا']","['سينون اي الدنيا ﻣﭭﻠﺒﺔ', 'مازالت الدنيا ﻣﭭﻠﺒﺔ عندك']","['لصحابهم', 'إيه']",3,1
"['أنا قلت له نديروها شوية بكري', 'المهم احنا هناأو عاود جا']","['كي راحو للمخازن لڤاهم يخدمو في لادروڤ تمافاق بحكاية لادروڤ', 'ﭬﺘﻠﻮ أمو وعلاه مالا أنا ميننعيش في عشرة لاف عبد']","['أي أسما شفتي وش تمرمدت وش تمرمدت وشتمرمدت', 'آه أنجنيور في لانفورماتيك و اامبعدفاندوكونت مسكينة']","['قلتلو يقولو أمي كم أهواها و أشتاق لرؤياها', 'قالليالمرة اللولا لي فهمت من فمك دوك']",4,1
"['ربي يحفضك خويا شمسو والله تيتاهل كلالخير', 'خويا شمسو انشا الله ربي يحفضكمنفوطيش منصوطيش او متبدلنيش']","['آه التوموبيل الحمرة', 'تسمع مسامع كيفكا']","['كيما ظ ض', 'لا مشني داكور']","['لا بن عمر خير آني مالفة باها', 'روح جيب وحدة و ردالصرف']",4,2
"['نعطيك عينيا معاهم', 'خلي عينيك لمرتك']","['اﻟﭙﻮرتابل أو عندها', 'آه آي هزاتو']","['بيان سور سليمة ، ربي يشفيك', 'نروحو ڤاع سليمةأنا تاني عييت']","['لا ما صلحتش', 'هاي جات إرور']",1,4
"['شديد العقاب على اللي يعصيه', 'ما تعنديهاشدايمن دايرة هاكدا']","['يبينلك بلي حتى هو ماشي متفاهم مع ناجي', 'من تم فهمت الحالة ساڢا ﭘﺎ بيناتهم']","['يعطيك الصحة خالتي دوجة', 'يعطيكم الصحة ليكيب']","['إيه أومبعد نروحو', 'نبعتولها خويا يديها']",2,1
"['ڤال لي كل عام كاين كلاسيكو جديد', 'وعلاه كلعام يدير اكيب جديدية']","['راني ميت بالضحك', 'قيت لك خاطيني']","['رد بالك عندك كلمات ياسر بالفرنسيسة , واحد مايقول دو مي تاع', 'عندي زوز سوايع ملي روحت ماقعدتش فتى فضت لاكونف عندي ياسر خدمة']","['وش الموت آري كاردياك أكسيدون من علامات الفناأديكا', 'واحد جار وش اسمها سميرة بنت عمي براهيم']",1,4
"['بالصح حاجة ما تصرالك', 'تنحاتلي الريحة مابقاتش']","['الله يبارك عليك لطفي تعجبني خويا', 'لطفيدوام حال من موحال خويا لطفي']","['هزيتها ملهيه', 'رايحة نعوم']","['أنا كي يكون عندي پروبلام صعيب نحط نقطة وقوف', 'يلزم نبداو نتفاهمو على الأقل على الحاجات السمپل']",1,3
"['وين؟ هنا ؟  يديرو لكلاسمون', 'دونك  كاين اونسول ميتود غالطة']","['و وحداخرين  كي يجيبلهم واش يجيبلهم مايقتنعوش', 'صح العبد كي يدعي ربي ربي يغيرلوالقدر تاعو']","['أرواحي نلعبو اللعبة هدي فيها حسابات', 'رؤىجيبي لي طرف قطن ربي يعيشك']","['يعطيك الصحة جربتو جاني روعة رابي يحفضاك', 'روعة يعطيك الصحة سييتو اليوم راجلي شكرني بزاف']",4,3
"['أسامة صح سلو كانوا عايشين في النورڢيج', 'آهسلو نعرفو بصح ما على باليش']","['قلتي وجو مقلب كشما دارولو نحاو منه حاجة', 'حتى لوكان نحاولو راح  يكون عنده السطر']","['آت اﻟﭙﻮرتابل', 'جيب يومة']","['امبعد ڤالت لي طاح علاها الباب', 'بلعقل ڤالت ليشفتي منا الباب']",1,4
"['يعطيك الصحة ديما فور', 'روعة ام وليد يعطيكالصحة']","['هادي ما نعرفهاش', 'قليل اللي يعرفوها']","['تسمى هادو الحوايج لي خلاهم ربي أﻣﭙﻮسيبلتوصللهم', 'دير واش تحب الشيطان ما تقدرش تشوفه']","['والله بديت نتقلق منه هدا', 'واش بيكي واش دار لك']",4,3
"['افضل حلقة فور صالح اوقرت كمل هكدا', 'يعطيكالصحة جربتو جاني روعة رابي يحفضاك']","['أسما اخطيني يزي بلا ﺣﭭﺮة', 'أسما اخطينييزي بلا ﺣﭭرة']","['نهار رحنا كيفكيف', 'وقيلة جوايه لواونز']","['حبيت تعرف المعنى نتاعها', 'يعني القرامد الكلطايرين']",2,1
"['سلام ام وليد جاتني رايعة ودوب فالفم يعطيكالصحة حبيبتي دائما رائعة', 'شكرالك ام وليدنبغيك بزاف راكي معاوتني على الطياب يعطيكالصحة']","['آه امبعد نروحو', 'نبعتولها خويا يداها']","['هاه امبعد مديتهالكم أنا تيعي سور', 'لا كانتمحطوطة عندي في البيت']","['هو عنده كارتابل تاع  ﻟﻴﭙﻮس', 'نور قال بانت ليصحابه يسالوله تار']",3,4
"['يديوها غدوة غدوة حتي  يخلاص العام', 'هاديكهي يقراو غير شهرين ولا تلاتة']","['ولا اروع ربي يحفضك خويا شمسو', 'مانسوطيش توجوغ معاك خويا شمسو']","['نقرى درك', 'على قداه']","['نطلب ماما', 'هيا وقتاه']",3,4
"['داتها الحكومة الأرض تعهم', 'راح تعطيهم ربعةملاير']","['ربي يحفضك خويا شمسو', 'قوة شمسوبرافوو']","['آه سايي أنا', 'آه وشيا لاكولور']","['صبيحة تاع عزابة', 'ياخي حكيتلك عليها']",1,3
"['كاﭘﺎبل يتبعك قادر يدخلو في التوموبيلات', 'كيماالجنون ديما يسكنو في الأماكن الخالية']","['ڤالت لي مزالت وحدوخرا ما فضتش', 'ڤالت لينهار أوخر أني نعيط لك']","['لسانك طويل، نتايا', 'أسمعي ما خلصتينيش']","['على بالك وش غاضني خلاه كي روﭘﻮرتاولكلاسوتنونس', 'غاضني حمص دوبل زيت و الغدا فيالريستورن']",3,1
"['ما تراتيش', 'لازم تجري']","['روعة و شحال يدير', 'وعلاه ما شريتيش واحد']","['هنا واحد ما يعرف حكايتك', 'نبقاو مخبيين هنا وخلاص']","['أها أملاك الدولة', 'ما عطاوكش الكونڢوكاسيون']",1,4
"['كاين ناس ﭬﺘﻠﻮلهم ناس ياسر من ليفامي تحم', 'كيفماه حبيتيني نسكت و كل يوم الدم و الهم']","['كمال راهو يتكونيكتا باش يشوف ولا رانامجتهدين', 'صح على بالي و تاني باشيموتڢينا']","['وعلاش هاد السطر وعلاش', 'زعمة  مالفوق برك']","['مديتي ﭙﻮرتابلك ليماك', 'ايه هداك مديتهولها']",4,1
"['لصحابهم', 'آه']","['جامي قريت و نا فرحان', 'ڤال لي علاها لكوزانتيعك']","['ما عنديش حكيتلك كيفاش تعرفت عليه صدفة', 'الراجل هداك لي قال لي عليه']","['رانا كامل واقفين معاك خويا شمسو', 'ديما فوورشمسو صح رمضانك']",1,2
"['يعطيك الصحة خدمة مليحة صديقي واصل', 'تهبلل قاع رانا معاك خويا مانسوطيش']","['يخسر سمعتو هو علاجال حاجة كيما أدي', 'ولاأديك اللقطة كي لعبو كونتر بعضاهم']","['القراية في وقتنا عادت بزاف صعيبة', 'كيما ﻧقولو حناالشيوخا ما يفهموكش مليح']","['ما عندوش سمانة إيه', 'عنده دوك قريب سمانة']",4,2
"['ما بقيناش نقراو محبة خاطر باش نطلع النيڢوتيعي ولا نقرا باش نتقف روحي ولا نعلم روحي', 'درك رانا في وقت اللي عينو يتقف يروح للمكتبة ولاانترنات يدير ديروشارش كشما يفهم لروحه']","['صحا', 'ألو']","['مالة وعلاش ما نجيبوش الغنى كاين بزاف منهم', 'خممت فيها في اللول مي ما لقيتش حاجة كبيرة']","['أكتبيه بالعربية سليمة', 'تعلمته في المروك']",3,4
"['ناض مخلوع مره واحد اخرى و سقسى مرته علىالطفل', 'راح يحوس على ولده عند الخدامةماﻟﭭﺎهش عندها هبل']","['خلي الوقت هو اللي يداوي كلش', 'مالا خلاصفريتها، واش قالك الطبيب']","['طناش دقيقة', 'ﭬﺮيب نفضو']","['ناس مرضى يا راجل', 'او كاين عندكم پوز']",3,4
"['مي ما عليهش هذا الكورپوس نتاع اليوم يقدريتقسم على دو سوجي ، لانفورماتيك والسياسة', 'ما خلطناش مراد رانا في لاكونتنوتي البارح هدرناعلى مصر اليوم نهدرو على سوريا']","['واش بيكي واش دار لك', 'ما دارلي والو بالصحيقلق']","['نضن لازم نكتبو في زوج سليمة بالدزيري وانابالعنابي', 'تاني راني نعمل في نفس الشي معصاحبتي في الفايسبوك']","['ربي يحفضك شمسو', 'خويا شمسو فالقمة']",2,4
"['آكي بيان سليمة', 'مرحبا بيك سليمة']","['هادي هي يقراو غير شهرين ولا تلاتة', 'سليمةمعليش نحبسو ما زالي خدمة للغدوة']","['وين في الماستار', 'إيه الماستار دو']","['خوها شهيد مات في التورة', 'كانت تحكي كيفاشكانت تقرا']",1,2
"['ڤالت لي والله ما على بالي', 'ڤالت لي كيما ريزووش نديرو باها']","['ما تشوفش القرعة أديكا القرعة أي تتعمر أميتباعو', 'أها أني عابالي و تتعمر بخمسة وعشرين نلف']","['ربي يعيشك', 'حطيتك عاقلة']","['ما سلختيش بصح حكمتي', 'باينة خلاه حكمتي رجل']",2,3
"['يعطيك الصحة ام وليد ربي يسهلك في ما تتمنايكما سهلتينا', 'روعة يعطيك الصحة اليوم نديرهاانشاء الله شكرا ام وليد']","['كاين بزاف حوايج', 'سورتو لا دروڨ']","['هه يعطيك الصحة', 'وليد بلادي راك فور']","['نسيت واش كنت راح نقول', 'سارة اعطيني الباطا تاعالسكر']",2,4
"['هاداك ما نعرف تلاقاه صاحبو تاني شافو منبعيد ما نعرف شافو ولا لالا', 'كي جاء رايح ليه لقاهراح ليسونسيال كي بان هدا ما كان']","['واحد يصدق مكانش منها بلاك ابتلا من عندربي برك', 'ابتلا درتي ولا ما درتيش جرب صدق وشوف']","['ماشي مشكل', 'تبعي إيمان']","['قال له بين لي بلي ربي كاين و انا ما نامنش بالقضاء والقدر', 'كيفاش تقولي هدا العبد مقدرة له يصرا له كيماهكا و  ما علاباليش']",2,3
"['نهار العين أدي و نهار العين أدي', 'لا أنا حكمنيلزوز معا بعضاهم']","['مالا جاه واحد الشيخ ضربو بكف عوجلو فمو', 'ڤال له اه مقدرتيليش عديكا ضربتيني بكف']","['يعرف', 'يفهم']","['أنا كونتر ندير إضراب', 'على ليزيلاڢ ندير إضراب']",3,2
"['وحد النهار ديسيدا وحد الطبيب من لاﻧﭭﻠﻴﺰ باشيروح لبلادو علاخاطرش خلاصت لكونترا تاعومعانا', 'خممنا باش نديرولو حفلة باش نودعوهﭘﺮيسيزينا لبلاصة تاع الحفلة في الجنينة تاعالسبيطار']","['ديسيديت باه نلم الشرط لمرتي كانت الخدمةتمشي على الكيف و أورﭬﺎنيزي سيرتو الخدمةتيعي كانت في سبيطار ميليتار', 'السبيطار فيهالخدامة من كل بلاد من لوروپ من بلاد تاعالكحالش و كانت لارولاسيون تيعي معاهم تاعخدمة']","['يعطيك الصحة وقيل شاتينا الخير والبركة ، واش رايك؟', 'تاع الصح راني من العشرة  و نص قدام الپيسي']","['ﻟقيت مرت جمال تما', 'العجوزة و الشيخ وحدهم']",3,4
"['أم غير يسايسو فيه يهدرو معاه و يضحكو ماجبدولوش على لحكاية خلاه', 'ﭬﺘﻠﻬﺎ اهدرو معاه وضحكوه و اجبدوا منو الهدرة إدا ڤعد كيما أك يديوهﻟﭙﺴﻴﻜﻮلوڤ']","['مالا جاه واحد الشيخ ضربه بكف عوجله فمه', 'قال له إيه ماقدرتليش علابيها ضربتيني بكف']","['أه عيط لها سايي', 'فرات أدا علاماه عيطت']","['اداك هو الصح غير الدز والعفيس', 'مراد ﭬبالي ماجاش دا كونجي اليوم']",1,4
"['دركا وعلاه ﭬﺎعدة تفهمي في وسامة', 'أو هو ڤاللي نحب الدستوري']","['فهمت', 'ايه']","['راهي تمشي كيما البلاد', 'ليسانس رجعت 3 سنين']","['وين في ألجي', 'في بن عكنون']",3,2
"['أنا حبيت نقراه ومن بعد نعطيك رايي', 'أنا بديتنقراه ما زال ما كملتوش']","['كي نخدموهم خير من اﻟﭙﻮرتابل مرة كاين كريديو مرة لا', 'بصح أنا ما فهمتش كيفماه حنا نسكنوهنا و نشكيوا لهيه']","['أسنايني أ ميمي درك نجي و حكيلي', 'على بالك أسارة يطيبو كيفنا']","['يعطيك الصحة خويل شمسو ربي يحفضك انشاء الله', 'فوور فوور والله مانسوطي برافو شمسو']",1,2
"['صا شمسو ربي يحفظك راما معاك', 'يعطيكصحة شمسو راني معاك حتى لاخر']","['رحتي عند نصيرة', 'راهي مسلمة عليك']","['كاين واحد الأبيات يڨولهم في الغنى تاعو تكونيتعرفيهم', 'اللي ما زهاش في الدنيا من الروح خالي']","['بصح هو الي حب على  لحداش', 'هادي صح اناپروپوزيت العشرة و نص']",2,3
"['اختي ام وليد من فضلك ديرينا لازانيا', 'شكرا اموليد ربي يفرحك ان شاظ الله']","['على الاقل تاع شتا يرد عليك البرد', 'صحسجلنا قريب خمسة و عشرين دقيقة']","['آه صح بلاك تسنا فيها برك', 'وش أ سارة أو يعيط لكحفيظ']","['أنا ﭬﻠﺖ نزوزو كشما ينوب عليه ربي', 'وعلاه ماتجيبوش واحد ولا ربيوه واديوا حسانتو']",4,2
"['بصح أنا ما فهمتش كيفاش حنا نسكنو هنا ونشكيو لهيك', 'بكري كي كان كلش نورمال كنانخلصو التليفون و الكنكسيون في بوزراد']","['واش راهو المقرمد هداك', 'تهنينا منه سمانةهداك']","['أوﻣﭙﻠﻮس أخدمي أميرة أختي', 'وش راح نڨول لك']","['شحال في عمرها بنتو', 'ربعة ولا خمسة سنين']",4,1
"['هاه أنا حابة نحط في الكونتابيليتي', 'آه ﭘﺎسكوﻟﻴﭙﻮست ناقصين و الخدمة ناقصة']","['لالا ماشي كيف كيف مقبيلة لوكا لي عطيتيهوليانت راني عندي زوج اختيارات يا في فرنسا ياهنا مادام عندي لاشونس راني نخدم في بلادي ولاقية مستقبلي هنا مادابيا نقعد هنا بالصح أنا ماعنديش مستقبل هنا في بلادي وعلاه نتلفت لها', 'لالا دوك كيما نقولو حنا  الدنيا هدي مكتوب و كلواحد و مكتوبه بالصح شوفي بالاك بلادنا مافيهاش الحوايج هادوما ملاح و المستقبل مجهولاسكو مليح ولا لالا بالصح الحاجة لي كاينة فيبلادنا وما تلقايهاش لهيك واش هي']","['ايه  وعلاه ماعنديش البوابر يخرجو يصيدو', 'أنانشوفها غير كي نكون مسافرة']","['شطحتي في العرس بزاف', 'قعدﺖ مع الهادي برا']",4,3
"['و أدي حاجة محال پاسكو ما يحطوش فيككونفيونس', 'زيدي انا ديسيديت حاجة نهز ديپلوممنا و كندا منا']","['رحت لوفتالمولوﭪ باش ندير ڢيزيتة لاجال نواظر', 'قعدت فلاسال داتونت ﻟقيت بزاف المرضى']","['قال لي أخت شمام واش راكي قلت له لاباس الحمدالله', 'قال لي واش ديرتيهم ولا لالا قلت له مالبستهمش']","['و ماتسنايش من وحدخرين يصرفو عليك ﭘﻠﻮتار', 'يجينهار و الوالدين ما يكونوش معانا']",2,4
"['موراهم جوكروا', 'حنا أوسي']","['كوتر نحبك بزاف ربي يحفظك نشالله', 'واصوتك روعة والله زهير بهاوي']","['قالت لي مازلت وحدخرا ما كملتهاش', 'قالت لي نهارآخر نعيط لك']","['الليل كامل', 'ما تنساناش']",3,2
"['بعدما راح جدي بربع ايام هكاك راح للاﭘﻮستيخلص', 'راح البرا شوية لتم على التسعة تاعالصباح مات']","['مالا موراها تسمى نميمة هكا', 'عجبني واحدالمساك راحة نديه']","['آه و عرف بلي حب ﻳﭭﺘﻞ خوه', 'حط الحراسة علىياسمين بانتلي غدوة يروحلها للدار']","['كملت قرايتي في لافاك بالسيف', 'ما كنتش سيريو فيقرايتي']",4,2
"['روعة نحبك كوثر غنية فور', 'كوثر فور بزافبزاف']","['أي رايحة درك بعد درك خارجة', 'أه خطراكشغدوة أي الفاتحة تاع هشام']","['و تاني كاين سكايب ، ماتخافيش', 'صح رايحينتكونو كل يوم معايا']","['نمده لك ما علاباليش بالاك نمده لك العشية على الزوج', 'إيه ولا الوحدة و نص راهي كل مرة كيفاش']",1,4
"['ما نعرف اي درك تجي', 'ما جيتيش البارح وشغلبتي']","['قستها خويا شمسو مانسوطيش', 'شمسو فووركمل فاهاد المستو']","['لا لفرونسي أي لا تقراي لا هم يحزنون تنحي منمخك العربية فهمتيني و تحكي نورمال پاسكو اللغة أيمشي هكا', 'درك الناس كل تعرف تحفظ بصح المشكلوين أو في اللسان برك درك أنا نحكي ڤد ڤد ولا لا']","['أرواحي نقولك يا ملاك أكتبيلي هنا لي يتحرك', 'لييتحرك يدي زوج ضربات من عندي بالعصا']",4,3
"['هدا الوزير شوية لوجيك ، داير دي زتود تكنيك', 'الوقت تبدل صح مي القراية تڨعد حاجة نتعبوعليها']","['شكرا ليك ام وليد وصفةرائعة', 'ام امـين سلامحبيبتي']","['انت', 'بزاف']","['أنا حبيت نشري ڢيستا كحلة و عجبتني وحدة', 'أنا إداصلحتلي تاع دياﻳﭙﻲ نشري وحدة']",4,3
"['لي يشتي شمسو يخبط جام', 'شمسو تستاهلكل خير خويا']","['هاه صح بصح يخرج مع لاڢاست تيعي وسي', 'ما تخافيش ما نديهولكش أني نهدر برك']","['خويا شمسو انشا الله ربي يحفضك منفوطيشمنصوطيش او متبدلنيش', 'والله كل منعاود نشوفالفيديو نخاف عليك كتر وكتر ربي يسترك خوياشمسو']","['كامل ماركة فرنسي كاش ما لقيتي ريحة ماركةألجيريان', 'إيه كاينين بالصح مدرحين كاينين وحداخرينمخدومين هنا']",4,3
